seed,world,selector,terminal_wealth,time_to_death,rollover_failure_frequency,transaction_cost_total,transaction_cost_mean,rollover_count,fail_count,settlement_event_count,dead
29,baseline_world,term_aware,-0.009756668176737149,2,0.0,0.0,0.0,2,0,2,True
30,baseline_world,term_aware,-0.002857888090606278,4,0.0,0.0,0.0,4,0,4,True
31,baseline_world,term_aware,-0.005,3,0.25,0.015,3.75e-05,3,1,4,True
32,baseline_world,term_aware,-0.0007637515451021475,2,0.0,0.0,0.0,2,0,2,True
33,baseline_world,term_aware,-0.02,12,0.07692307692307693,0.02,5e-05,12,1,13,True
34,baseline_world,term_aware,-0.0018831938008410294,7,0.0,0.02,5e-05,7,0,7,True
35,baseline_world,term_aware,-0.021295018416458266,4,0.0,0.0,0.0,4,0,4,True
36,baseline_world,term_aware,-0.0016477952700603097,4,0.0,0.0,0.0,4,0,4,True
37,baseline_world,term_aware,-0.02,5,0.16666666666666666,0.04,0.0001,5,1,6,True
38,baseline_world,term_aware,-0.012301275317389924,3,0.0,0.0,0.0,3,0,3,True
39,baseline_world,term_aware,-0.005,2,0.3333333333333333,0.01,2.5e-05,2,1,3,True
40,baseline_world,term_aware,-0.01397178750508563,6,0.0,0.01,2.5e-05,6,0,6,True
41,baseline_world,term_aware,-0.01525364072356315,9,0.1,0.045,0.0001125,9,1,10,True
42,baseline_world,term_aware,-0.006617542669674747,12,0.0,0.04,0.0001,12,0,12,True
43,baseline_world,term_aware,-0.00468035725297454,4,0.0,0.0,0.0,4,0,4,True
44,baseline_world,term_aware,-0.03051209748751678,18,0.0,0.0,0.0,18,0,18,True
45,baseline_world,term_aware,-0.005,3,0.25,0.015,3.75e-05,3,1,4,True
46,baseline_world,term_aware,-0.01859409602313849,9,0.1,0.045,0.0001125,9,1,10,True
47,baseline_world,term_aware,-0.007102843511134816,5,0.16666666666666666,0.025,6.25e-05,5,1,6,True
48,baseline_world,term_aware,-0.02,14,0.06666666666666667,0.02,5e-05,14,1,15,True
49,baseline_world,term_aware,-0.005,10,0.09090909090909091,0.05499999999999999,0.00013749999999999998,10,1,11,True
